亜,ア アシア,つぐ,Asia; rank next; come after; -ous
執,シツ シュウ,とる,tenacious; take hold; grasp; take to heart
漆,シツ,うるし,lacquer; varnish; seven
疾,シツ,,rapidly
芝,シ,しば,turf; lawn
舎,シャ セキ,やどる,cottage; inn; hut; house; mansion
射,シャ,いる さす,shoot; shine into; onto; archery
赦,シャ,,pardon; forgiveness
斜,シャ,ななめ はす,diagonal; slanting; oblique
煮,シャ,にる にえる にやす,boil; cook
紗,サ シャ,うすぎぬ,gauze; gossamer
謝,シャ,あやまる,apologize; thank; refuse
遮,シャ,さえぎる,intercept; interrupt; obstruct
蛇,ジャ ダ イ ヤ,へび,snake; serpent; hard drinker
邪,ジャ,よこしま,wicked; injustice; wrong
勺,シャク,,ladle; one tenth of a go; dip
尺,シャク,,shaku; Japanese foot; measure; scale; rule
爵,シャク,,baron; peerage; court rank
酌,シャク,くむ,bartending; serving sake; the host; draw (water); ladle; scoop; pump
釈,シャク セキ,とく すてる ゆるす,explanation
寂,ジャク セキ,さび さびしい さびれる さみしい,loneliness; quietly; mellow; mature; death of a priest
朱,シュ,あけ,vermilion; cinnabar; scarlet; red; bloody
殊,シュ,こと,particularly; especially; exceptionally
狩,シュ,かる かり,hunt; raid; gather
珠,シュ,たま,pearl; gem; jewel
趣,シュ,おもむき おもむく,gist; proceed to; tend; become
儒,ジュ,,Confucian
寿,ジュ ス シュウ,ことぶき ことぶく ことほぐ,longevity; congratulations; ones natural life
授,ジュ,さずける さずかる,impart; instruct; grant; confer
樹,ジュ,き,timber trees; wood
需,ジュ,,demand; request; need
囚,シュウ,とらわれる,captured; criminal; arrest; catch
宗,シュウ ソウ,むね,religion; sect; denomination; main point; origin; essence
就,シュウ ジュ,つく つける,concerning; settle; take position; depart; study; per
修,シュウ シュ,おさめる おさまる,discipline; conduct oneself well; study; master
愁,シュウ,うれえる うれい,distress; grieve; lament; be anxious
秀,シュウ,ひいでる,excel; excellence; beauty; surpass
臭,シュウ,くさい におう におい,stinking; ill-smelling; suspicious looking; odor; savor; fragrance; be fragrant; stink; glow; be bright
衆,シュウ シュ,おおい,masses; great numbers; multitude; populace
襲,シュウ,おそう かさね,attack; advance on; succeed to; pile; heap
酬,シュウ シュ トウ,むくいる,repay; reward; retribution
醜,シュウ,みにくい しこ,ugly; unclean; shame; bad looking
充,ジュウ,あてる みたす,allot; fill
従,ジュウ ショウ ジュ,したがう したがえる より,accompany; obey; submit to; comply; follow; secondary; incidental; subordinate
汁,ジュウ,しる つゆ,soup; juice; broth; sap; gravy; pus
渋,ジュウ シュウ,しぶ しぶい しぶる,astringent; hesitate; reluctant; have diarrhea
獣,ジュウ,けもの けだもの,animal; beast
縦,ジュウ,たて,vertical; length; height; self-indulgent; wayward
銃,ジュウ,,gun; arms
叔,シュク,,uncle; youth
淑,シュク,しとやか,graceful; gentle; pure
縮,シュク,ちぢむ ちぢまる ちぢめる ちぢれる ちぢらす,shrink; contract; shrivel; wrinkle; reduce
粛,シュク スク,つつしむ,solemn; quietly; softly
塾,ジュク,,cram school; private school
熟,ジュク,うれる,mellow; ripen; mature; acquire skill
俊,シュン,,sagacious; genius; excellence
峻,シュン,けわしい たかい,high; steep
瞬,シュン,またたく,wink; blink; twinkle
駿,シュン スン,すぐれる,a good horse; speed; a fast person
准,ジュン,,quasi-; semi-; associate
循,ジュン,,sequential; fellow
旬,ジュン シュン,,decameron; 10day period; season (for specific products
殉,ジュン,,martyrdom; follow by resigning
淳,ジュン シュン,あつい,pure
潤,ジュン,うるおう うるおす うるむ,wet; be watered; profit by; receive benefits; favor; charm; steep
盾,ジュン,たて,shield; escutcheon; pretext
巡,ジュン,めぐる めぐり,patrol; go around; circumference
遵,ジュン,,abide by; follow; obey; learn
暑,ショ,あつい,sultry; hot; summer heat
渚,ショ,なぎさ,strand; beach; shore
庶,ショ,,commoner; all; bastard
叙,ジョ,ついず ついで,confer; relate; narrate; describe
序,ジョ,ついで ついで,preface; beginning; order; precedence; occasion; chance; incidentally
徐,ジョ,おもむろに,gradually; slowly; deliberately; gently
傷,ショウ,きず いたむ いためる,wound; hurt; injure; impair; pain; injury; cut; gash; scar; weak point
償,ショウ,つぐなう,reparation; make up for; recompense; redeem
匠,ショウ,たくみ,artisan; workman; carpenter
升,ショウ,ます,measuring box; 1.8 liter
唱,ショウ,となえる,chant; recite; call upon; yell
奨,ショウ ソウ,すすめる,exhort; urge; encourage
宵,ショウ,よい,wee hours; evening; early night
尚,ショウ,なお,esteem; furthermore; still; yet
庄,ショウ ソ ソウ ホウ,,level
彰,ショウ,,patent; clear
抄,ショウ,,extract; selection; summary; copy; spread thin
掌,ショウ,てのひら たなごころ,manipulate; rule; administer; conduct; palm of hand
昌,ショウ,さかん,prosperous; bright; clear
昭,ショウ,,shining; bright
晶,ショウ,,sparkle; clear; crystal
松,ショウ,まつ,pine tree
梢,ショウ,こずえ くすのき,treetops; twig
沼,ショウ,ぬま,marsh; lake; bog; swamp; pond
渉,ショウ,わたる,ford; ferry; port
焦,ショウ,こげる こがす こがれる あせる,char; hurry; impatient; irritate; burn; scorch; singe
症,ショウ,,symptoms; illness
硝,ショウ,,nitrate; saltpeter
礁,ショウ,,reef; sunken rock
祥,ショウ,,auspicious; happiness; good omen
称,ショウ,たたえる となえる あげる かなう はかり はかる ほめる,appellation; praise; admire; name; title; fame
粧,ショウ,,cosmetics; adorn (ones person)
肖,ショウ,あやかる,resemblance
